Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.01,110.42,102.42,110.41666666666669
1200,100.3,120.83,105.88,120.83333333333334
1800,101.22,131.25,109.98,131.25
2400,102.86,141.67,114.61,141.66666666666669
3000,105.18,152.08,119.64,152.08333333333334
3600,108.12,162.5,125.09,162.5
4200,111.63,172.92,130.95,172.91666666666669
4800,115.68,183.33,137.18,183.33333333333337
5400,120.2,193.75,143.66,193.75
6000,125.05,204.17,150.32,204.16666666666669
6600,130.28,214.58,157.29,214.58333333333337
7200,135.9,225.0,164.53,225.0
7800,141.87,235.42,172.01,235.41666666666669
8400,147.92,245.83,179.42,245.83333333333337
9000,154.23,256.25,187.08,256.25
9600,160.81,266.67,194.94,266.6666666666667
10200,167.66,277.08,203.0,277.08333333333337
10800,174.55,287.5,211.0,287.5
11400,181.51,297.92,219.07,297.9166666666667
12000,188.67,308.33,227.32,308.33333333333337
12600,196.05,318.75,235.71,318.75
13200,203.53,329.17,244.16,329.1666666666667
13800,210.9,339.58,252.48,339.58333333333337
14400,218.44,350.0,260.97,350.0
