Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.02,116.34,103.26,116.66666666666666
1200,100.48,132.83,108.22,133.33333333333331
1800,101.95,149.36,114.17,150.0
2400,104.53,165.9,120.96,166.66666666666666
3000,108.2,182.44,128.56,183.33333333333331
3600,112.84,199.01,136.74,200.0
4200,118.32,215.58,145.52,216.66666666666663
4800,124.61,232.15,154.93,233.33333333333331
5400,131.52,248.75,164.63,250.0
6000,139.03,265.33,174.82,266.66666666666663
6600,147.18,281.92,185.51,283.3333333333333
7200,155.59,298.54,196.21,300.0
7800,164.49,298.8,204.35,300.0
8400,173.61,298.9,211.31,300.0
9000,182.43,298.98,217.66,300.0
9600,190.74,299.06,223.52,300.0
10200,198.09,299.14,228.76,300.0
10800,204.83,299.2,233.52,300.0
11400,211.15,299.26,237.95,300.0
12000,217.06,299.31,242.08,300.0
12600,222.57,299.35,245.94,300.0
13200,227.73,299.39,249.54,300.0
13800,232.54,299.43,252.89,300.0
14400,237.03,299.47,256.03,300.0
